,Compound Name,Physical Parameter,Dimensions,Temporal Shape,Spatial Shape,Cell Methods,Cell Measures,Dimensions (from Spatial Shape),Dimensions (from Temporal Shape),CMIP7_branded_variable_name
555,CFmon.rsu4co2,rsu4co2,"longitude, latitude, alevhalf, time",time-intv,Global field on model atmosphere half-levels,area: time: mean,area: areacella,"longitude,latitude,alevhalf",time,rsu4co2_ti-l-hxy-u
556,CFmon.rsucs,rsucs,"longitude, latitude, alevhalf, time",time-intv,Global field on model atmosphere half-levels,area: time: mean,area: areacella,"longitude,latitude,alevhalf",time,rsucs_ti-l-hxy-u
557,CFmon.rsucs4co2,rsucs4co2,"longitude, latitude, alevhalf, time",time-intv,Global field on model atmosphere half-levels,area: time: mean,area: areacella,"longitude,latitude,alevhalf",time,rsucs4co2_ti-l-hxy-u
558,CFmon.rsut4co2,rsut4co2,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,rsut4co2_ti-u-hxy-u
559,CFmon.rsutcs4co2,rsutcs4co2,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,rsutcs4co2_ti-u-hxy-u
560,CFmon.smc,smc,"longitude, latitude, alevhalf, time",time-intv,Global field on model atmosphere half-levels,area: time: mean,area: areacella,"longitude,latitude,alevhalf",time,smc_ti-l-hxy-u
561,CFmon.ta,ta,"longitude, latitude, alevel, time",time-intv,Global field on model atmosphere levels,area: time: mean,area: areacella,"longitude,latitude,alevel",time,ta_ti-l-hxy-u
562,CFmon.tnhus,tnhus,"longitude, latitude, alevel, time",time-intv,Global field on model atmosphere levels,area: time: mean,area: areacella,"longitude,latitude,alevel",time,tnhus_ti-l-hxy-u
563,CFmon.tnhusa,tnhusa,"longitude, latitude, alevel, time",time-intv,Global field on model atmosphere levels,area: time: mean,area: areacella,"longitude,latitude,alevel",time,tnhusa_ti-l-hxy-u
564,CFmon.tnhusc,tnhusc,"longitude, latitude, alevel, time",time-intv,Global field on model atmosphere levels,area: time: mean,area: areacella,"longitude,latitude,alevel",time,tnhusc_ti-l-hxy-u
